company_name,ticker,total_meetings_2020_plus,total_disagreements
taylor morrison home corp,TMHC,7,6
taylor wimpey plc,TW,6,2
tencent music entertainment group,1698,5,0
tokyu corp,9005,6,3
toyota industries corp,6201,6,0
toyota motor corp,7203,6,2
tractor supply co,TSCO,6,0
travel + leisure co,TNL,6,0
tui ag,TUI1,7,2
turk hava yollari ao,THYAO.E,6,11
u-haul holding co,UHAL,6,14
universal music group nv,UMG,4,15
valeo se,FR,6,0
vedant fashions ltd,543463,4,2
vf corp,VFC,6,5
viking holdings ltd,VIK,1,2
visteon corp,VC,5,0
vivendi se,VIV,8,46
volkswagen ag,VOW3,7,85
volvo car ab,VOLCAR.B,6,12
wal-mart de mexico sab de cv,WALMEX,9,0
walmart inc,WMT,6,13
wh smith plc,SMWH,5,0
whitbread plc,WTB,6,1
wingstop inc,WING,6,2
wolters kluwer nv,WKL,8,0
wpp plc,WPP,6,0
zalando se,ZAL,6,2
aak ab,AAK,7,16
arca continental sab de cv,AC,8,8
archer-daniels-midland co,ADM,6,9
asahi group holdings ltd,2502,6,0
associated british foods plc,ABF,6,0
barry callebaut ag,BARN,12,21
beiersdorf ag,BEI,6,3
bim birlesik magazalar as,BIMAS.E,8,0
britvic plc,BVIC,7,0
brown-forman corp,BF.B,6,0
bunge global sa,BG,7,5
carrefour sa,CA,6,17
coca-cola europacific partners plc,CCEP,6,7
coca-cola hbc ag,CCH,8,8
colgate-palmolive co,CL,6,12
corporativo fragua sab de cv,FRAGUAB,7,8
cvs health corp,CVS,6,5
danone sa,BN,6,0
diageo plc,DGE,7,0
dino polska sa,DNP,7,9
dsm-firmenich ag,DSFIR,7,3
essity ab,ESSITY.B,7,1
fomento economico mexicano sab de cv,FEMSAUBD,15,6
glanbia plc,GL9,8,0
heineken holding nv,HEIO,6,9
heineken nv,HEIA,6,1
hellofresh se,HFG,6,3
hormel foods corp,HRL,6,5
ingredion inc,INGR,6,0
j sainsbury plc,SBRY,6,0
jeronimo martins sgps sa,JMT,7,4
kao corp,4452,6,0
kellanova,K,6,8
kenvue inc,KVUE,2,0
kesko oyj,KESKOB,6,0
keurig dr pepper inc,KDP,6,3
kikkoman corp,2801,6,3
kimberly-clark corp,KMB,6,10
koninklijke ahold delhaize nv,AD,9,0
lotus bakeries nv,LOTB,3,4
mckesson corp,MCK,6,4
molson coors beverage co,TAP,6,0
monster beverage corp,MNST,6,7
nestle india ltd,500790,13,1
nestle sa,NESN,12,0
performance food group co,PFGC,6,0
pernod ricard sa,RI,6,2
reckitt benckiser group plc,RKT,6,0
shoprite holdings ltd,SHP,6,4
sysco corp,SYY,6,4
tesco plc,TSCO,8,1
uni-president enterprises corp,1216,5,9
unicharm corp,8113,6,0
unilever plc,ULVR,17,0
us foods holding corp,USFD,6,13
zabka group sa,ZAB,3,2
adnoc gas plc,ADNOCGAS,2,0
apa group,APA,6,0
baker hughes co,BKR,6,6
bp plc,BP,12,0
cameco corp,CCO,6,0
chevron corp,CVX,6,19
cosan sa,CSAN3,25,22
enagas sa,ENG,6,0
enbridge inc,ENF,0,0
eni spa,ENI,6,1
exxon mobil corp,XOM,6,36
galp energia sgps sa,GALP,6,1
halliburton co,HAL,6,9
keyera corp,KEY,6,0
marathon petroleum corp,MPC,6,5
nextracker inc,NXT,3,2
omv ag,OMV,7,3
pembina pipeline corp,PPL,6,1
petroleo brasileiro sa,PETR4,41,40
phillips 66,PSX,6,19
plug power inc,PLUG,5,2
reliance industries ltd,500325,15,1
repsol sa,REP,6,0
saipem spa,SPM,9,5
shell plc,SHEL,14,0
siemens energy ag,ENR,5,0
sma solar technology ag,S92,5,0
snam spa,SRG,7,1
targa resources corp,TRGP,6,7
tc energy corp,TRP,6,1
technipfmc plc,FTI,6,11
tenaris sa,TEN,7,24
totalenergies se,TTE,6,2
valero energy corp,VLO,6,8
vibra energia sa,VBBR3,13,3
3i group plc,III,6,0
abn amro bank nv,ABN,10,0
absa group ltd,ABG,6,0
abu dhabi commercial bank pjsc,ADCB,8,10
admiral group plc,ADM,6,0
aegon ltd,AGN,9,0
aflac inc,AFL,6,0
agnc investment corp,AGNC,6,0
aib group plc,A5G,8,1
akbank tas,AKBNK.E,6,10
