company_name,ticker,total_meetings_2020_plus,total_disagreements
old republic international corp,ORI,6,1
merlin properties socimi sa,MRL,6,0
atkinsrealis group inc,ATRL,6,2
investec plc,INVP,10,0
hindustan aeronautics ltd,541154,6,6
banca mediolanum spa,BMED,7,7
ugi corp,UGI,6,0
kakao corp,035720,5,3
imi plc,IMI,6,0
energisa s/a,ENGI11,15,2
tpg inc,TPG,3,35
encompass health corp,EHC,6,1
lattice semiconductor corp,LSCC,6,2
momentum group ltd,MTM,7,0
convatec group plc,CTEC,6,0
freenet ag,FNTN,6,0
ciena corp,CIEN,6,1
wistron corp,3231,6,19
jackson financial inc,JXN,4,0
teleflex inc,TFX,6,5
firstservice corp,FSV,6,9
cae inc,CAE,6,0
mitsubishi hc capital inc,8593,7,0
biomerieux,BIM,6,32
